,Unnamed: 0,full_text,Text_English,Polarity,Score
0,0,sabar fokus,Patiently focus,0.0,neutral
1,1,ahli final mengikatsudah serang promosi program capai sajabila erti jg wakil,The final expert binds the promotion of the promotion of the program is just like a representative,0.0,neutral
2,2,takut kalah usik beda dikit,afraid of losing a little bit of use,-0.39375,negative
3,3,dukung,support,0.0,neutral
4,4,usik luar nalar akal sehat bodoh ya olah diam marah peristiwa produk hukum langgar etik berat salah laju kali anak presiden,usik outside reasoning common sense stupid yes anger angry events of legal products Lagger Ethics Severe wrong pace of the president's child,-0.3714285714285714,negative
5,5,mas ganjarpranowo tuh lupa orangtua mas kejar jabat beda ya ngejar kali sampe sampe jatuh kubu belah fitnah hoaks sampe sampe presiden kena hadejhhmelalui buzer buzer,"Mas Ganjarpranowo, I forgot that the parents were chasing a different jabat, so I chased until it had fallen into the camp of slander hoaks until the president was hit by hadejhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh",0.0,neutral
6,6,oh ya apaapa orang hak ,oh yeah what are the right people,0.2857142857142857,positive
7,7,ganjar fokus raih menang senggol rugi,Ganjar focus on winning the winning loss,0.5,positive
8,8,cawapres anggap sah hukum ,Vice President Thinks Legal Legal,0.2,positive
9,9,i hate mk,I HATE MK,-0.8,negative
10,10,ya ganjar khawatir putus terbit langgar kode etik sah aneh ngerasa aneh,"Yes, Ganjar is worried about breaking up, violating the legal code of ethics",0.2,positive
11,11,haiii ubanklu takut kalah cari narasi hujat diskredit pede menang coba bicara program kerja visi misinyq,Haiii Ubanklu Afraid to Lose Finding the Narrative of Discredited Pede Winning Try to Talk to the Work Program of Misinyq Vision,-0.04999999999999999,negative
12,12,haiii gpklu takut kalah cari narasi hujat diskredit pede menang coba bicara program kerja visi misinyq,Haiii GPKLU Afraid to Lose Find a Narrative of Discredit Discredits Winning Try Talking,-0.04999999999999999,negative
13,13,wkwkwk dukung wowo podo nyinyir coba jago curang ngmg gin ,wkwkwk Supports wowo podo nyinyir try good at cheating ngmg gin,0.7,positive
14,14,tidak apa apa pilih pasang jalur langgar kode etik emang pilih ganjar,"It's okay to choose to install the path of violating the code of ethics, choose Ganjar",0.5,positive
15,15,akibat survey turun turuuuun akibat resah gelisah,As a result of the survey down turuuuun due to restlessness,-0.14027777777777778,negative
16,16,gelisah menteri prabowogibran,Restless Minister Prabowogibran,0.0,neutral
17,17,ahli final mengikatsudah serang promosi program capai,The final expert binds the Promotion Promotion Promotion,0.0,neutral
18,18,tidak apa apa diam rakyat tindak beres sama,It's okay to be silent the people are the same act,0.16666666666666666,positive
19,19,sulit bangun palestina erti butuh rakyat rawan presiden tanam jiwa nasionalis hati masyarakat adu gagas pesta rakyat koin prita ,Difficult to Build Palestine Erti Needs People Prone to the President of Planting Nationalist Soul The Hearts,-0.5,negative
20,20,tidak ada netral netral mah puas adil,There is no neutral neutral mah satisfied fair,0.6,positive
21,21,gelisah sih jatohnya emang sih alur hukum indo orng terbit salah laku,"anxious, the fall is really the published grooves",-0.024999999999999994,negative
22,22,cie usik eeaa gibran sm usik awowkwok beda cerita,Cie Usik Eeaa Gibran Smsik Awowkwok Different Stories,0.0,neutral
23,23,kerja do ur best masyarakat bodoh buta suka nonton drama korea paham intrik kejam dunia diam,work do ur the best blind people like watching Korean drama understanding the cruel world of silence,-0.16666666666666666,negative
24,24,jokowi dukung beliau ,Jokowi supports him,0.0,neutral
25,25,goblok ngerti hukum wakil ganjarrrr ,Goblok understands the law of representatives of Ganjarrrr,0.0,neutral
26,26,wkwkwk usik ancam penting pribadi kl cawapres elo mah cari alesan benar asu,wkwkwk usik threatening important personal time kl vice president elo mah looking for alasis right asu,0.22857142857142856,positive
