Unnamed: 0.1,Unnamed: 0,full_text,Text_English,Polarity,Score,Linear_Predictions,RBF_Predictions
0,0,sabar fokus,Patiently focus,0.0,neutral,neutral,neutral
1,1,ahli final mengikatsudah serang promosi program capai sajabila erti jg wakil,The final expert binds the promotion of the promotion of the program is just like a representative,0.0,neutral,neutral,neutral
2,2,takut kalah usik beda dikit,afraid of losing a little bit of use,-0.39375,negative,neutral,neutral
3,3,dukung,support,0.0,neutral,neutral,neutral
4,4,usik luar nalar akal sehat bodoh ya olah diam marah peristiwa produk hukum langgar etik berat salah laju kali anak presiden,usik outside reasoning common sense stupid yes anger angry events of legal products Lagger Ethics Severe wrong pace of the president's child,-0.3714285714285714,negative,negative,negative
5,5,mas ganjarpranowo tuh lupa orangtua mas kejar jabat beda ya ngejar kali sampe sampe jatuh kubu belah fitnah hoaks sampe sampe presiden kena hadejhhmelalui buzer buzer,"Mas Ganjarpranowo, I forgot that the parents were chasing a different jabat, so I chased until it had fallen into the camp of slander hoaks until the president was hit by hadejhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh",0.0,neutral,positive,neutral
6,6,oh ya apaapa orang hak ,oh yeah what are the right people,0.2857142857142857,positive,positive,neutral
7,7,ganjar fokus raih menang senggol rugi,Ganjar focus on winning the winning loss,0.5,positive,neutral,neutral
8,8,cawapres anggap sah hukum ,Vice President Thinks Legal Legal,0.2,positive,positive,positive
9,9,i hate mk,I HATE MK,-0.8,negative,neutral,neutral
10,10,ya ganjar khawatir putus terbit langgar kode etik sah aneh ngerasa aneh,"Yes, Ganjar is worried about breaking up, violating the legal code of ethics",0.2,positive,positive,positive
11,11,haiii ubanklu takut kalah cari narasi hujat diskredit pede menang coba bicara program kerja visi misinyq,Haiii Ubanklu Afraid to Lose Finding the Narrative of Discredited Pede Winning Try to Talk to the Work Program of Misinyq Vision,-0.0499999999999999,negative,neutral,neutral
