Unnamed: 0.1,Unnamed: 0,full_text,Text_English,Polarity,Score
0,0,polisi libat lidi proses putus mk batas usia capres cawapres fusilat news ,Police Lids Lidi Process Breaking Mk Age Limits of Fusilat Vice Presidential Candidates News,0.0,neutral
1,1,babak polemik putus mk batas usia capres cawapres polisi libat klik baca kompascom baca berita iklan download aplikasi ,Polemic Round Disconnect Mk Age Limits of Police Presidential Candidates Libat Click Read Kompascom Read News Advertisements Download Applications,-0.2,negative
2,2,ganjar nilai rapor tega hukum era jokowi ganjar nilai tega hukum ham era presiden jokowi merah ganjar nilai skala putus mk kait batas usia caprescawapres detikpemilu,Ganjar Report Card Value of the Law of the Jokowi Era Law Ganjar Human Rights Value of Human Rights Era President Jokowi Red Ganjar Value of Scale Decoration,0.0,neutral
3,3,mahasiswa aksi tolak kait putus mahkamah konstitusi mk kait batas usia caprescawapres tolak politik dinasti aksi tolak pasang spanduk kawasan jembatan seberang orang jakarta timur ,Students of the Action Reject the Decision of the Constitutional Court of the Constitutional Court Hooks the age limit of the presidential candidate to reject the Political Dynasty Action Rejecting the banner of the bridge area opposite the people of East Jakarta,0.05,positive
4,4,polisi libat lidi proses putus mk batas usia capres cawapres ,Police Lid the Lidi Process Breaking Mk Limits of the Vice Presidential Candidate Candidate,0.0,neutral
5,5,ekokuntadhi moga adil ma adlh baik spt anwar usman bukti langgar berat thd kode etik uji materi perkara nomor puuxxi batas usia calon pre caprescawapres sesuai putus sidang mahkamah hormat mk dipimpim jimly asshiddiqie,Ekokuntadhi hopefully just good like anwar usman evidence of a weight violation of the Code of Ethics Test Case Number Puuxxi Puuxi Age Limits of Candidate Candidates according to the breakdown,0.7,positive
6,6,ekokuntadhi sayang mkmk periksa sorot etika hakim putus absah putus mk kait batas usia caprescawapres,"Ekokuntadhi dear mkmk check the highlight of the ethics of the judge to break up, the breakdown",0.0,neutral
7,7,respons survei lpi pakar putus mk batas usia capres ajar ,LPI Survey Response Expert Breaks Mk Age Limits of Candidates for Teaching Candidates,0.0,neutral
8,8,bareskrim selidik bocor isi rapat hakim mk bahas putus batas usia caprescawapres tribunnews rapathakimmkbocor bareskrim,Bareskrim Investigates Leaks The contents of the meeting of the judges of the Constitutional Court discussed the age limit of the Candidate for the Presidential Candidate Tribunnews,0.0,neutral
9,9,survey lpi masyarakat tuju putus batas usia caprescawapres mk ,LPI Survey Community Deals with the age limit of the MK Presidential Candidate,0.0,neutral
10,10,survei bukti mayoritas orang tuju dengna putus mk batas usia capres cawapres ,a survey of the majority of people's evidence by breaking up the age limit of the vice presidential candidate,0.0,neutral
11,11,bareskrim usut duga bocor rph mk putus batas usia caprescawapres ,Criminal Investigation Bareskrim suspected that leaks of RPH MK broke up the age limit of the presidential candidate,-0.4,negative
12,12,alisyarief putus mk batas usia caprescawapres skandal ijazah palsu jadi pintu masuk,Alisyarief broke up the age limit of the Candidate for the Vice President of the Fake Diploma Scandal to be the entrance,-0.5,negative
13,13,bocor musyawarah hakim mk putus syarat batas usia caprescawapres ,Leakage of the Conference Judge Deliberation Breaks the Candidates for the Candidate for Presidential Candidates,0.0,neutral
14,14,survei lpi potret respons publik putus mkmk mkmk vonis langgar    kait putus kontroversial mk batas usia calon caprescawapres ,LPI Survey Portrait of Public Response Disconnect MKMK Mkmk Venity to Little Developed Controversial Mk Age Limits of Candidate Candidates for Presidential Candidates,0.115625,positive
15,15,mayoritas publik tuju putus mk syarat minimum batas usia caprescawapres tuju tahutidak sumber lpi tolak besar kalang anak muda ganjarmahfudtaatkonstitusi ganjarmahfud ,"The majority of the public goes to break up, the minimum requirement for the age limit of the presidential candidate, the presidential candidate is aimed at not the source of the LPI rejects a large number of young people, Ganjarmahfudtaatkonstration, Ganjarmahfud",0.1047619047619047,positive
16,16,nepotisme makna tindak untung keluarga orang dekat tempat ruang sehrsnya tempat publik putus mk batas usia capresbacapres anggap bentuk ptaktek nepotisme hubung keluarga atr hakim mk gibran salam ,"Nepotism The meaning of the facts of the families of people near the place of space so that the public place is broken, but the age limit of the presidential candidate considers the form of PTAKTEK NEPOTISM.",-0.1,negative
17,17,eddy widodo putus mk scandaleux usia capres cawaprestapi putus privil ge jabat kepala daerah kait dgn kurang batas usia,Eddy Widodo Disconnect Mk Scandaleux Age Cawaprestapi Candidate Disconnect Privil Ge Gang Head of Regional Head hook with lack of age,0.0,neutral
18,18,putus mk batas usia caprescawapres nilai norma hukum ,Breaking up the age limit of the presidential candidate for the value of legal norms,0.2,positive
19,19,logika produk hukum lahir proses langgar kode etikmaka putus lembaga hukum cacat hukumhukum cacat mesti berlakubegitupun hal putus mk batas usia minimal caprescawapres ak aja mohmahfudmd ,Logic Product Logic Born Process of Violating Code of Ethics,0.0,neutral
20,20,pdip nilai putus mk kait batas usia caprescawapres untung ,PDIP Breaking Value MK Hook Age Limits of Propressive Candidates,0.0,neutral
21,21,heran mohmahfudmd yusrilihza mhd jimlyas ngeh putus mk laku sah uu milu ubah buat uu dasar putus ubah efek kosong hukum batas usia capres kpu dasar pakai putus mk,Surprisingly Mohmahfudmd Yusrilihza mhd jimlyas ngeh broke up mk legitimate law Milu changes for the Basic Law to Break the Empty Effects of the Law of the Age of the Candidate for the Candidate for the Basic KPU Use Use Breaking MK MK,0.15,positive
22,22,serius fahrihamzah ahli hukum elit politik negara pandang putus mk ubah batas usia caprescawapres ,Seriously Fahrihamzah Expert Legal Executive Political Elite State Disconnect MK Change the age limit of the presidential candidate,-0.0444444444444444,negative
23,23,koordinator aliansi mahasiswa jawa timur abi naga parawansa salah kritisi aliansi putus mahkamah konstitusi mk nomor puuxxi kait batas usia minimal capres cawapres tanggal oktober giat ,East Java Student Alliance Coordinator Abi Naga Parawansa is wrong the criticism of the Constitutional Court of Constitutional Court MK Number Puuxxi Hooks the Minimum Age Limits,-0.5,negative
24,24,vancbozz menang fair problem indikasi kuat unsur curang chaos indikasi putus mk batas usia caprescawapres tambah curang lawan keras ,Vancbozz won fair problem problem indication of the cheating element chaos indication of breaking up the age limit of the presidential candidate to cheat the opponent hard,0.2041666666666666,positive
25,25,dprhiburanmalam jokowi nahu putus mk batas usia capres,DPRDuranmalam Jokowi Nahu broke up the age limit of the presidential candidate,0.0,neutral
26,26,polemik mk mk baca putus batas usia capres cawapres prabowogibranistimewa bersamaindonesiamaju prabowogemoy prabowo subianto,Polemic MK MK Reading Breaking Age Limits of Vice President Candidates Prabowogibranist Special With the Prabowogemoy Prabowo Subianto,0.3571428571428571,positive
