,full_text,Text_English
0,sabar fokus,Patiently focus
1,ahli final mengikatsudah serang promosi program capai sajabila erti jg wakil,The final expert binds the promotion of the promotion of the program is just like a representative
2,takut kalah usik beda dikit,afraid of losing a little bit of use
3,dukung,support
4,usik luar nalar akal sehat bodoh ya olah diam marah peristiwa produk hukum langgar etik berat salah laju kali anak presiden,usik outside reasoning common sense stupid yes anger angry events of legal products Lagger Ethics Severe wrong pace of the president's child
5,mas ganjarpranowo tuh lupa orangtua mas kejar jabat beda ya ngejar kali sampe sampe jatuh kubu belah fitnah hoaks sampe sampe presiden kena hadejhhmelalui buzer buzer,"Mas Ganjarpranowo, I forgot that the parents were chasing a different jabat, so I chased until it had fallen into the camp of slander hoaks until the president was hit by hadejhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh"
6,oh ya apaapa orang hak ,oh yeah what are the right people
7,ganjar fokus raih menang senggol rugi,Ganjar focus on winning the winning loss
8,cawapres anggap sah hukum ,Vice President Thinks Legal Legal
9,i hate mk,I HATE MK
10,ya ganjar khawatir putus terbit langgar kode etik sah aneh ngerasa aneh,"Yes, Ganjar is worried about breaking up, violating the legal code of ethics"
11,haiii ubanklu takut kalah cari narasi hujat diskredit pede menang coba bicara program kerja visi misinyq,Haiii Ubanklu Afraid to Lose Finding the Narrative of Discredited Pede Winning Try to Talk to the Work Program of Misinyq Vision
12,haiii gpklu takut kalah cari narasi hujat diskredit pede menang coba bicara program kerja visi misinyq,Haiii GPKLU Afraid to Lose Find a Narrative of Discredit Discredits Winning Try Talking
13,wkwkwk dukung wowo podo nyinyir coba jago curang ngmg gin ,wkwkwk Supports wowo podo nyinyir try good at cheating ngmg gin
14,tidak apa apa pilih pasang jalur langgar kode etik emang pilih ganjar,"It's okay to choose to install the path of violating the code of ethics, choose Ganjar"
15,akibat survey turun turuuuun akibat resah gelisah,As a result of the survey down turuuuun due to restlessness
16,gelisah menteri prabowogibran,Restless Minister Prabowogibran
17,ahli final mengikatsudah serang promosi program capai,The final expert binds the Promotion Promotion Promotion
18,tidak apa apa diam rakyat tindak beres sama,It's okay to be silent the people are the same act
19,sulit bangun palestina erti butuh rakyat rawan presiden tanam jiwa nasionalis hati masyarakat adu gagas pesta rakyat koin prita ,Difficult to Build Palestine Erti Needs People Prone to the President of Planting Nationalist Soul The Hearts
20,tidak ada netral netral mah puas adil,There is no neutral neutral mah satisfied fair
21,gelisah sih jatohnya emang sih alur hukum indo orng terbit salah laku,"anxious, the fall is really the published grooves"
22,cie usik eeaa gibran sm usik awowkwok beda cerita,Cie Usik Eeaa Gibran Smsik Awowkwok Different Stories
23,kerja do ur best masyarakat bodoh buta suka nonton drama korea paham intrik kejam dunia diam,work do ur the best blind people like watching Korean drama understanding the cruel world of silence
24,jokowi dukung beliau ,Jokowi supports him
25,goblok ngerti hukum wakil ganjarrrr ,Goblok understands the law of representatives of Ganjarrrr
26,wkwkwk usik ancam penting pribadi kl cawapres elo mah cari alesan benar asu,wkwkwk usik threatening important personal time kl vice president elo mah looking for alasis right asu
27,aneh emng nya laku orng ilegal dokumen tanda tangan dah terbit,"strangely, the illegal document is signed by the signature"
28,biasabiarkan ya gpp rilis surve amblessssakhirnya bilangini usik,"usually gpp released survey ambesssss, say this is usik"
29,pilpres pakai drama berjilidjilid korban negara,presidential election uses a military -based drama of the country's victims
30,gelisah takut kalahkatanya gibran pdip ketua pdip kendali si bocil kalah wibawa boss kalah kacung nya,Restless afraid of losing his eyes Gibran PDIP Chairperson of PDIP Control The Bocil Lose Word of Boss Lose his Kacung
31,helehhhh roasting komika baper roasting rakyat,Helehhh Roasting Komika Baper Roasting People
32,mahfud bilang sah hukum wakil loh ahli hukum bikin statement blunder terus kek kiper emyu,Mahfud said that the legal representatives of the Legal Experts made a blunder statement continue
33,biar ganjar fokus mending biar menang presiden,Let Ganjar focus better to win the president
34,panik si ganjarmaluin gibran pastimenang ama prabowo,Panic Si Ganjarmaluin Gibran Pastimenang Ama Prabowo
35,semangat ganjar lawan ketidakadilan,the spirit of Ganjar against injustice
36,takut kalah ,Afraid to lose
37,power orang lolos,Power people escape
38,kegelisanah ganjar kirim takut tarung si gemoy si bocil rusak demokrasi ambisi kuasa lurah ,Ganjar Ganjar Sending Fear of Tarung Si Gemoy the Bocil Damaged Democracy Ambition of the Lurah's Power
39,sabar orang mah coba,patient people try
40,dicatet mas ditanyain tetep mbulet cari benar,dicaget mas to be asked still still mbulet looking for right
41,pesan ganjar anis mundur pencapresan habis habisin uang rakyat,The message of Ganjar Anis withdrew the nomination after spending people's money
42,mending fokus ganjar,Better focus Ganjar
43,takut kalah nyerang ya jumawa sombong sih,"afraid of losing to attack, yes, arrogant, arrogant"
44,kasih hukum adil,Fair law
45,lelah,tired
46,mohon mahfud md langsung beliau bertanyia tanyia ya,please mahfud md immediately he is tanyia
47,duh ngeri dendam kubu gp pbgb salah presiden gaduh gelisah ganggu jiwa pilih peringkat kalah yo wes ben,"Duh horrified the revenge of the GP PBGB stronghold, the wrong president of the rowdy, disturbed the soul to choose the ranking of losing yo wes ben"
48,tpi jokowi mentor dunia politik knpa jdi gelisah ,"But Jokowi, the Mentor of the Political World, why is it nervous"
49,tenang dukung mu,Relax support you
50,tenang dukung mu,Relax support you
51,coba ajar dlu om biar,try to teach you so
52,usik,usik
53,gusti mboten sare tidak ngurusin kandidat fokus visi misi drpd timbul kondisi enak semangat,Gusti Mboten Sare did not take care of the candidate focus on the vision and mission of DRPD arose a good condition
54,sok kepedean ubah ,pretentious to change
55,sungguh aneh nyata,It's really strange
56,yuk fokus dukung ganjar ,Let's focus on supporting Ganjar
57,sehat orang sehat,Healthy people healthy
58,gelisah takut kalah,Restless afraid of losing
59,tetep fokus pakk,still focus pakk
60,gas bunuh penting rakyat,killing gas is important for the people
61,usik ya seruduk bro mosok banteng mewek bongko ,"Usik, yes, bro, bro mosok bull memek bongko"
62,usik feby putri,Usik Feby Putri
63,awas e ktp usik apa,Watch out what KTP is usik
64,panik,panic
65,cawapres beliau dah faham tuh,Vice president he already understood
66,iyanih aneh banget,Iyanih is so strange
67,mak banteng diem ya ngaruh,mak bull shut up
68,trusik knapa ngak sm atas partaidn knapa jg dgn sikap anak melempem thd oknum kader partaiada loh,then why isn't it over the party who is also with the attitude of the child sluggish to the party cadres
69,komennya jk gibran pasang,The comment is JK Gibran Install
70,paham domino gin maju boss,Understanding Domino Gin Maju Boss
71,dangkal,shallow
72,semangat,Spirit
73,makane sinau,Eat Sinau
74,anak muda repot lawan politik,Young people are troublesome for political opponents
75,jokowi mas apakata sptnya,"Jokowi Mas, what kind of"
